,open,high,low,close,volume
2024-10-16,93.7300,96.7900,93.6300,96.7500,9936286
2024-10-17,96.9300,97.3300,95.6100,96.5400,9542501
2024-10-18,97.0100,97.5400,96.0500,97.2800,8609692
2024-10-21,97.2000,97.4500,95.9500,96.6200,8189949
2024-10-22,96.2000,97.2550,96.2000,96.7400,5344307
2024-10-23,96.9300,97.1378,95.9850,96.2400,5388501
2024-10-24,96.6000,96.8000,95.2515,95.4000,5015263
2024-10-25,95.8100,96.8536,95.0100,95.0300,6638148
2024-10-28,95.2200,96.6850,95.2100,96.2000,8146379
2024-10-29,96.2600,96.6200,95.6750,96.1300,6834439
2024-10-30,95.7000,96.7100,94.9400,95.0800,7718201
2024-10-31,95.2700,96.6300,95.0000,96.2000,8147709
2024-11-01,95.7000,96.3900,94.8300,95.8100,7944869
2024-11-04,95.8250,96.0188,95.0300,95.7900,6088036
2024-11-05,95.6000,96.6700,95.2500,96.6300,6561725
2024-11-06,98.2100,99.5500,98.2100,98.8900,11325086
2024-11-07,98.7800,99.5200,98.1300,98.9300,7805138
2024-11-08,98.7300,99.2600,97.6100,99.0200,7982113
2024-11-11,99.0000,100.9000,99.0000,100.8600,9137854
2024-11-12,100.5500,101.2900,99.5000,100.9900,9366216
2024-11-13,100.7850,103.2000,100.3500,102.7200,17701277
2024-11-14,110.3300,114.8100,108.4000,109.1200,47436052
2024-11-15,110.2500,115.1900,110.2500,115.0800,32048032
2024-11-18,113.3300,115.4350,112.8900,113.5400,14236555
2024-11-19,112.0500,112.5000,110.8200,112.4200,12166783
2024-11-20,112.2600,114.3700,111.4700,114.2600,9319270
2024-11-21,114.1500,116.2500,113.8343,114.7200,10260983
2024-11-22,113.8500,116.3400,113.6000,115.6500,10098038
2024-11-25,115.6800,116.5798,114.9320,116.0000,10397808
2024-11-26,116.0000,116.4200,115.4400,115.4500,6808149
2024-11-27,115.4450,118.1998,115.4450,117.6000,8142388
2024-11-29,117.2600,117.7400,116.7300,117.4700,5095150
2024-12-02,117.7800,118.6300,116.5500,117.1600,8390465
2024-12-03,117.0000,117.2300,115.4500,116.4500,9193973
2024-12-04,115.9700,117.2900,115.8400,116.9900,7996244
2024-12-05,116.5500,117.2700,116.0600,116.5000,9823556
2024-12-06,116.5500,117.2600,116.2200,116.7300,6677906
2024-12-09,116.3850,117.1800,113.9100,114.6100,8666121
2024-12-10,114.6500,114.9500,113.7200,114.7300,7526428
2024-12-11,114.6350,115.0500,113.9800,114.6100,6426831
2024-12-12,114.7000,115.0100,114.1600,114.9000,5285116
2024-12-13,114.3220,114.9600,113.3000,113.3400,6864475
2024-12-16,113.0000,113.0670,111.7300,112.1100,10528533
2024-12-17,111.0250,114.0400,110.8000,113.0200,12238619
2024-12-18,113.3400,116.1184,111.2400,111.3500,12292778
2024-12-19,111.6600,112.9100,111.2500,111.3700,9468516
2024-12-20,110.6100,112.9700,110.4300,112.0300,17955325
2024-12-23,111.6100,111.8500,110.3100,111.4000,6037212
2024-12-24,111.2500,112.7400,111.1924,112.5600,2474994
2024-12-26,112.1200,113.3200,111.8600,112.5500,4782814
2024-12-27,111.8200,112.1200,110.8600,111.5500,4523820
2024-12-30,110.4250,111.5400,109.8300,110.8000,5716337
2024-12-31,110.7800,111.5900,110.6700,111.3500,4757538
2025-01-02,111.7000,112.2000,110.1700,110.8200,5688086
2025-01-03,111.3700,111.5350,110.1800,111.1600,5394318
2025-01-06,111.4700,112.8537,110.8700,111.0500,6274419
2025-01-07,112.1500,113.7400,111.2900,111.3900,7878807
2025-01-08,111.0000,111.1100,108.6400,109.7600,7805312
2025-01-10,110.0000,110.5400,107.6200,108.6500,8835518
2025-01-13,107.9300,108.6100,106.7200,108.0800,6690232
2025-01-14,108.6800,108.9600,107.6100,108.1200,5501600
2025-01-15,109.1700,109.6000,107.9900,108.1800,6296861
2025-01-16,108.2900,108.6000,106.1600,106.4600,7872767
2025-01-17,106.8300,107.7400,106.5400,107.0200,7144263
2025-01-21,107.1000,109.4500,106.8000,108.7000,8643694
2025-01-22,109.5500,109.5500,108.2300,108.8100,8781705
2025-01-23,108.5000,111.0700,108.4900,111.0400,7608265
2025-01-24,111.1550,113.3900,110.6300,112.1600,8304478
2025-01-27,111.6800,114.0800,111.4600,113.3400,10176938
2025-01-28,112.8450,112.9600,111.5600,112.1400,6516763
2025-01-29,113.4950,114.3844,112.7600,113.1900,7607068
2025-01-30,114.0850,115.1800,113.1200,113.4300,6236187
2025-01-31,113.3000,114.0100,112.7600,113.0600,7797690
2025-02-03,111.3500,114.6000,110.8600,114.0000,8870666
2025-02-04,113.8000,114.6550,112.5100,113.3000,13521149
2025-02-05,115.7000,118.5900,110.2300,110.5400,23309982
2025-02-06,111.8800,112.6800,109.1500,112.0900,12470787
2025-02-07,111.6100,112.5500,110.8101,110.8600,8669320
2025-02-10,111.1400,111.3800,108.6900,109.2800,8239512
2025-02-11,108.3800,109.0500,107.6900,109.0200,7456717
2025-02-12,108.2500,109.5250,107.7500,109.2300,6521246
2025-02-13,108.9200,109.7600,108.5600,109.5900,6553224
2025-02-14,109.8600,110.5100,109.5901,110.3800,5964541
2025-02-18,109.7750,109.9200,108.7100,109.5600,8362898
2025-02-19,109.1400,111.7600,109.1400,111.3500,8452114
2025-02-20,111.2400,111.5200,109.3750,110.5500,5970106
2025-02-21,111.0000,111.7600,107.9200,108.6600,9082075
2025-02-24,108.8400,111.5550,108.6500,111.2000,7093298
2025-02-25,111.4300,111.9000,109.0700,110.5300,7288975
2025-02-26,110.0550,113.2500,110.0550,111.8300,7831584
2025-02-27,112.3200,113.1200,111.0600,111.3100,7854650
2025-02-28,111.4600,113.9900,111.0000,113.8000,14609401
2025-03-03,114.0700,115.5500,112.0000,112.7900,7884746
2025-03-04,111.7000,112.2500,108.2700,109.0100,12658024
2025-03-05,109.3400,110.9383,108.2200,109.3100,9956143
2025-03-06,108.3800,108.8300,105.0165,105.4300,11618753
2025-03-07,105.0000,105.7700,103.3100,105.5100,12715904
2025-03-10,104.4300,104.8000,102.1100,103.0800,10824783
2025-03-11,99.7900,101.0400,97.4500,97.9000,16906005
2025-03-12,98.6800,99.4900,96.3800,98.7600,11891787
