,open,high,low,close,volume
2024-10-16,133.9800,136.6200,131.5800,135.7200,264879720
2024-10-17,139.3400,140.8900,136.8700,136.9300,306435921
2024-10-18,138.6650,138.9000,137.2800,138.0000,176090184
2024-10-21,138.1300,143.7100,138.0000,143.7100,264554514
2024-10-22,142.9100,144.4200,141.7800,143.5900,226311589
2024-10-23,142.0300,142.4300,137.4600,139.5600,285930038
2024-10-24,140.8200,141.3500,138.4600,140.4100,172354888
2024-10-25,140.9300,144.1300,140.8000,141.5400,205122109
2024-10-28,143.0000,143.1400,140.0500,140.5200,173586745
2024-10-29,140.2850,142.2598,138.9000,141.2500,157593634
2024-10-30,139.5400,140.3300,136.8100,139.3350,179418082
2024-10-31,137.6000,137.6100,132.1106,132.7600,270039641
2024-11-01,134.7000,137.3100,134.5700,135.4000,207127838
2024-11-04,137.2100,138.9600,135.5700,136.0500,187528173
2024-11-05,137.4500,140.3701,137.3300,139.9100,160537373
2024-11-06,142.9600,146.4900,141.9600,145.6100,242043945
2024-11-07,146.3900,148.9300,146.1700,148.8800,207323303
2024-11-08,148.7700,149.7700,146.2600,147.6300,175665830
2024-11-11,148.6800,148.8500,143.5700,145.2600,182325620
2024-11-12,146.7800,149.6500,146.0100,148.2900,198634738
2024-11-13,149.0700,149.3300,145.9000,146.2700,191903267
2024-11-14,147.6400,149.0000,145.5500,146.7600,194463301
2024-11-15,144.8700,145.2400,140.0800,141.9800,250132869
2024-11-18,139.5000,141.5500,137.1500,140.1500,221865993
2024-11-19,141.3200,147.1300,140.9900,147.0100,227834912
2024-11-20,147.4100,147.5600,142.7300,145.8900,309871654
2024-11-21,149.3500,152.8900,140.7000,146.6700,400946570
2024-11-22,145.9300,147.1600,141.1000,141.9500,236406154
2024-11-25,141.9900,142.0500,135.8200,136.0200,344941875
2024-11-26,137.7000,139.3000,135.6700,136.9200,190287654
2024-11-27,135.0100,137.2200,131.8000,135.3400,226370912
2024-11-29,136.7800,139.3500,136.0500,138.2500,141863156
2024-12-02,138.8300,140.4500,137.8250,138.6300,171682777
2024-12-03,138.2600,140.5400,137.9500,140.2600,164413965
2024-12-04,141.9950,145.7900,140.2900,145.1400,231224295
2024-12-05,145.1100,146.5400,143.9500,145.0600,172621180
2024-12-06,144.6000,145.7000,141.3100,142.4400,188505573
2024-12-09,138.9700,139.9500,137.1300,138.8100,189308625
2024-12-10,139.0100,141.8200,133.7900,135.0700,210020888
2024-12-11,137.3600,140.1700,135.2100,139.3100,184905192
2024-12-12,137.0800,138.4400,135.8000,137.3400,159211393
2024-12-13,138.9400,139.6000,132.5400,134.2500,231514881
2024-12-16,134.1800,134.4000,130.4200,132.0000,237951130
2024-12-17,129.0900,131.5900,126.8600,130.3900,259410263
2024-12-18,133.8600,136.7000,128.2800,128.9100,277444533
2024-12-19,131.7600,134.0300,129.5500,130.6800,209719210
2024-12-20,129.8100,135.2800,128.2200,134.7000,306528553
2024-12-23,136.2800,139.7900,135.1201,139.6700,176053506
2024-12-24,140.0000,141.9000,138.6500,140.2200,105156989
2024-12-26,139.7000,140.8500,137.7300,139.9300,116519090
2024-12-27,138.5500,139.0200,134.7100,137.0100,170582603
2024-12-30,134.8300,140.2700,134.0200,137.4900,167734700
2024-12-31,138.0300,138.0700,133.8300,134.2900,155659211
2025-01-02,136.0000,138.8800,134.6300,138.3100,198247166
2025-01-03,140.0100,144.9000,139.7300,144.4700,229322478
2025-01-06,148.5900,152.1560,147.8201,149.4300,265377359
2025-01-07,153.0300,153.1300,140.0100,140.1400,351782174
2025-01-08,142.5800,143.9500,137.5600,140.1100,227349948
2025-01-10,137.4500,139.9200,134.2200,135.9100,207602514
2025-01-13,129.9900,133.4900,129.5100,133.2300,204808914
2025-01-14,136.0500,136.3800,130.0500,131.7600,195590485
2025-01-15,133.6500,136.4500,131.2900,136.2400,185217338
2025-01-16,138.6400,138.7500,133.4900,133.5700,209235583
2025-01-17,136.6900,138.5000,135.4649,137.7100,201188760
2025-01-21,139.1600,141.8300,137.0900,140.8300,197748985
2025-01-22,144.6600,147.7900,143.6700,147.0700,237651395
2025-01-23,145.0500,147.2300,143.7200,147.2200,155915549
2025-01-24,148.3700,148.9700,141.8800,142.6200,234657635
2025-01-27,124.8000,128.4000,116.7000,118.4200,818830895
2025-01-28,121.8100,129.0000,116.2500,128.9900,579666350
2025-01-29,126.5000,126.8900,120.0500,123.7000,467120640
2025-01-30,123.1000,125.0000,118.1000,124.6500,392925469
2025-01-31,123.7800,127.8500,119.1900,120.0700,390372899
2025-02-03,114.7500,118.5700,113.0100,116.6600,371235677
2025-02-04,116.9600,121.2000,116.7000,118.6500,256550040
2025-02-05,121.7600,125.0000,120.7600,124.8300,263110629
2025-02-06,127.4200,128.7700,125.2100,128.6800,251483574
2025-02-07,129.2200,130.3700,125.0000,129.8400,228186298
2025-02-10,130.0900,135.0000,129.9600,133.5700,216989086
2025-02-11,132.5800,134.4800,131.0200,132.8000,178902379
2025-02-12,130.0200,132.2400,129.0800,131.1400,160278552
2025-02-13,131.5550,136.5000,131.1700,135.2900,197429975
2025-02-14,136.4800,139.2500,135.5000,138.8500,195479557
2025-02-18,141.2700,143.4400,137.9250,139.4000,219176627
2025-02-19,139.5100,141.3600,137.2200,139.2300,167536006
2025-02-20,140.0300,140.6600,136.7901,140.1100,143903583
2025-02-21,140.0400,141.4600,134.0300,134.4300,228217585
2025-02-24,136.5600,138.5900,130.0800,130.2800,251381137
2025-02-25,129.9800,130.2000,124.4400,126.6300,271428711
2025-02-26,129.9850,133.7300,128.4900,131.2800,322553814
